,OBJECTID,GEO_ID,LFN_ID,LF_NAME,FNODE,TNODE,ONE_WAY_DI,length_in_,GEO_ID_1,LTS,Shape_Leng,geometry,index_left,Count Date,8 Peak Hr Vehicle Volume,8 Peak Hr Pedestrian Volume
538,539,914146,1575,Evans Ave,13470232,13470244,0,130.630459683,914146,4,0.00155863601995,"LINESTRING (616435.0614849849 4829436.514592344, 616426.6526943888 4829433.441335483, 616412.9558656786 4829428.69365495, 616400.757062829 4829423.954735129, 616393.9409389738 4829420.849334582, 616388.5586182245 4829417.751954836, 616383.1684120337 4829415.154395112, 616377.7241799544 4829412.055649629, 616372.2489495811 4829408.956570371, 616366.7637302309 4829406.357274732, 616361.2165995024 4829403.756908881, 616355.6702663884 4829401.156361806, 616350.0919196308 4829398.555463567, 616344.4917661697 4829395.454039463, 616338.8413796513 4829393.351652881, 616333.2000985416 4829390.749576878, 616315.789281462 4829383.878182366)","(732.0,)","('11-26-2016',)",16464.0,29.0
545,546,13990836,11687,Sherway Gt,13990825,13990837,0,132.175219426,13990836,4,0.00123530387454,"LINESTRING (616495.7449865122 4829457.99941604, 616454.517578112 4829583.561865332)","(920.0,)","('07-31-2013',)",13646.0,277.0
546,547,13990824,1575,Evans Ave,13990825,13470232,0,64.3912603397,13990824,4,0.000778452840503,"LINESTRING (616495.7449865122 4829457.99941604, 616494.9048466408 4829457.676189125, 616481.2709566272 4829452.92975905, 616467.6780329642 4829447.683916804, 616435.0614849849 4829436.514592344)","(920.0,)","('07-31-2013',)",13646.0,277.0
547,548,13990823,1575,Evans Ave,13470208,13990825,0,109.011690231,13990823,4,0.00132260665198,"LINESTRING (616599.3516994468 4829491.783285828, 616508.5296652182 4829462.922542688, 616495.7449865122 4829457.99941604)","(920.0,)","('07-31-2013',)",13646.0,277.0
562,563,30015564,17447,Sherway Gardens Rd,13990837,13470207,0,317.773441407,30015564,4,0.00371022450103,"LINESTRING (616454.517578112 4829583.561865332, 616442.9437226414 4829580.033542089, 616397.0679461306 4829566.174820557, 616369.664870793 4829559.01913101, 616341.3430790589 4829553.621719219, 616312.9717463361 4829550.888382927, 616286.3197456794 4829551.294115013, 616256.0125695525 4829557.406579568, 616220.2908586811 4829568.305610547, 616183.8077170146 4829500.347678995)","(926.0,)","('03-28-2011',)",13642.0,1478.0
566,567,914389,2612,Thirtieth St,13470410,13470350,0,223.496040033,914389,4,0.00209874590953,"LINESTRING (618409.3796029293 4828754.483513546, 618335.3930610756 4828965.347711572)","(1015.0,)","('12-01-2009',)",8574.0,350.0
574,575,9134249,2612,Thirtieth St,13470350,13470319,0,103.653324223,9134249,2,0.000967959854132,"LINESTRING (618335.3930610756 4828965.347711572, 618303.3706488465 4829063.916613516)","(1015.0,)","('12-01-2009',)",8574.0,350.0
575,576,914323,1823,Horner Ave,13470350,13470357,0,102.990162344,914323,4,0.00125022526224,"LINESTRING (618335.3930610756 4828965.347711572, 618237.3734826979 4828933.78158328)","(1015.0,)","('12-01-2009',)",8574.0,350.0
577,578,7323985,1823,Horner Ave,13470340,13470350,0,100.993262836,7323985,4,0.0012222760361,"LINESTRING (618430.8236399452 4828998.363443705, 618335.3930610756 4828965.347711572)","(1015.0,)","('12-01-2009',)",8574.0,350.0
586,587,914021,10689,Browns Li N Evans Ramp,13470144,13470165,1,110.915936689,914021,4,0.00113080132686,"LINESTRING (617211.3694793816 4829798.512831315, 617214.0736528436 4829797.945675564, 617220.7455580998 4829795.517340311, 617224.354863178 4829793.288613862, 617230.5594190825 4829788.556955756, 617234.715522578 4829784.298314915, 617237.5831742679 4829780.781455841, 617240.2005655877 4829777.004946899, 617242.5696155988 4829773.68898049, 617248.0876435344 4829765.789235632, 617253.0437881277 4829757.608205608, 617257.7982248701 4829748.965457381, 617260.9660308606 4829742.456027013, 617265.4965099489 4829731.105471165, 617267.9158160886 4829724.736509854, 617272.12484025 4829710.865171227)","(862.0,)","('11-24-2016',)",14078.0,51.0
